130,154,123,60,18,2
115,73,32,14,2,0
112,386,867,1416,1468,1173
83,47,30,17,2,4
104,139,74,29,9,2
100,190,255,245,168,78
108,49,28,4,1,0
127,78,22,4,2,0
103,102,56,26,5,0
108,87,62,18,1,0
135,56,10,2,1,0
76,62,36,12,0,0
104,67,30,10,0,0
161,174,136,90,46,12
100,38,0,0,0,0
132,79,21,6,5,1
92,128,138,115,61,32
86,224,314,405,304,151
101,33,7,0,0,0
88,115,87,48,20,4
107,57,23,8,4,0
91,51,9,0,0,0
113,44,6,2,0,0
90,69,35,17,5,0
81,109,111,66,29,12
93,98,75,37,12,3
111,95,63,32,8,4
95,64,34,11,0,0
86,57,28,10,1,0
114,84,38,10,1,0
161,201,194,134,52,14
120,81,53,16,2,0
93,81,50,24,8,3
87,59,31,9,1,0
96,90,59,19,9,0
87,93,62,28,3,0
90,89,56,20,7,5
95,163,181,146,72,35
93,92,30,8,1,0
121,243,332,336,226,110
68,31,22,6,0,0
112,74,29,11,4,0
76,54,30,18,5,1
81,80,49,24,9,3
62,66,40,22,8,0
93,175,219,149,88,39
96,137,148,122,67,18
58,66,51,17,1,0
103,82,33,7,0,0
60,52,29,14,4,1
96,166,202,185,102,30
82,49,23,8,2,0
88,22,2,0,0,0
100,60,19,6,1,0
100,38,13,0,0,0
61,77,88,54,29,13
95,73,38,14,3,1
89,258,535,789,772,638
91,100,81,33,15,4
118,106,68,37,10,3
104,77,25,8,3,1
88,166,155,85,32,13
91,65,27,4,0,0
90,43,17,6,2,0
104,112,86,61,29,5
66,52,24,13,2,0
128,212,272,193,126,54
163,134,66,21,2,0
132,8,1,0,0,0
106,122,106,67,33,15
139,39,4,1,0,0
113,264,367,355,227,100
84,204,322,409,285,141
105,65,32,9,4,0
131,63,8,4,1,0
98,29,12,6,3,0
149,216,222,143,61,15
134,91,43,13,6,2
97,41,8,0,0,0
88,71,28,11,1,0
75,221,419,581,465,311
89,102,73,36,9,5
110,124,100,47,15,6
107,165,130,76,40,16
93,134,122,97,69,20
99,160,188,157,72,41
120,61,22,1,0,0
45,30,14,4,0,0
108,70,17,11,2,0
113,79,27,8,4,0
91,145,178,132,54,23
81,49,28,16,5,0
65,58,25,10,1,0
112,56,11,7,0,0
83,36,13,2,0,0
92,125,123,85,39,10
122,69,27,18,2,2
91,49,29,4,2,1
110,111,75,29,6,0
115,147,112,43,21,4
103,116,125,79,32,6
94,96,56,27,5,1
89,26,6,1,0,0
116,151,134,87,31,6
106,110,100,59,24,8
93,135,177,131,63,24
89,43,14,1,0,0
128,482,1173,2006,2317,1982
120,41,7,1,1,0
77,96,72,36,14,4
101,91,53,20,4,0
127,77,41,12,0,0
75,83,74,47,20,5
61,57,27,10,5,0
81,8,1,0,0,0
67,19,2,0,0,0
107,114,75,36,7,2
90,293,664,958,1005,755
67,37,7,3,1,0
131,128,68,37,10,3
86,167,190,180,99,35
118,130,95,51,22,5
101,67,28,3,0,0
105,45,9,1,0,0
108,31,7,2,0,0
97,44,22,4,0,0
103,76,27,5,2,1
103,25,7,2,0,0
92,26,4,0,0,0
80,79,44,12,7,6
60,38,7,1,2,0
110,56,14,6,2,0
69,38,15,2,0,0
66,27,6,4,1,0
77,107,132,87,44,8
92,178,287,323,231,116
115,368,669,870,762,540
65,70,53,37,18,6
140,183,120,62,32,7
126,262,340,317,184,77
78,212,352,368,272,138
111,232,325,280,183,88
83,111,131,73,32,12
110,68,35,12,0,0
146,47,11,3,0,0
104,161,123,76,32,18
83,66,38,12,9,3
100,76,34,16,1,0
85,46,14,1,1,0
112,47,10,0,0,0
102,165,210,181,84,20
98,91,69,41,16,3
80,37,11,5,1,0
103,132,93,38,9,1
127,129,97,46,10,2
102,125,90,65,17,4
119,294,634,947,853,612
104,82,46,10,2,1
119,54,17,3,0,0
98,75,38,7,1,0
80,48,20,3,1,0
90,109,103,61,13,6
124,115,75,36,12,2
106,111,68,42,15,4
102,54,14,3,0,0
117,99,94,34,8,2
116,69,22,6,3,0
119,122,84,25,9,2
88,55,27,14,5,0
106,38,10,0,0,0
109,111,78,38,11,0
65,25,1,0,0,0
144,277,430,407,292,140
86,104,87,44,16,3
99,99,63,35,7,1
94,94,43,17,6,1
124,119,64,24,5,0
106,28,2,1,0,0
73,157,220,184,100,38
103,30,8,2,0,0
124,174,157,102,61,22
88,63,22,8,1,0
116,87,46,13,4,0
83,76,41,8,1,0
99,73,23,10,1,0
126,83,37,13,2,1
126,159,101,59,20,9
112,78,33,5,4,0
107,31,11,1,0,0
86,58,26,7,2,0
127,113,74,36,5,0
92,149,178,141,74,24
93,133,119,88,38,13
72,63,41,16,9,2
65,32,3,0,0,0
112,150,169,110,62,24
110,76,43,17,3,0
98,83,30,11,1,0
102,151,150,114,48,18
99,111,105,52,9,2
117,135,105,52,5,1
87,35,3,1,0,0
102,58,27,5,3,0
92,23,13,1,0,0
119,120,80,38,12,0
70,58,33,15,7,2
112,140,131,87,34,8
109,84,70,25,10,2
78,47,17,4,1,0
107,318,623,885,794,581
85,29,10,1,0,0
118,22,4,0,0,0
116,51,28,11,3,0
97,105,78,49,22,7
106,86,35,8,0,0
96,64,22,3,1,0
107,42,15,6,2,0
104,205,276,253,157,62
109,94,29,10,4,0
117,52,13,3,3,1
92,79,46,17,9,1
94,52,12,1,0,0
102,84,40,13,3,0
108,189,245,187,94,24
132,69,38,13,3,0
101,82,56,18,5,2
96,72,38,15,1,0
87,69,29,9,0,0
43,45,34,18,12,5
134,175,143,84,30,5
88,53,20,4,4,0
94,43,17,5,2,0
87,69,26,7,1,0
96,119,115,81,37,10
110,69,41,10,2,0
111,103,64,21,5,1
94,23,6,1,0,0
117,197,235,175,69,18
77,25,6,0,0,0
105,39,10,0,0,0
88,73,31,8,1,0
110,97,40,13,2,0
110,89,46,15,5,0
161,106,45,9,2,0
110,74,28,12,1,0
79,35,16,8,1,0
65,13,7,0,0,0
114,78,47,17,2,1
86,46,25,6,0,0
75,69,46,19,7,4
98,86,35,12,2,2
79,102,84,60,17,5
70,84,113,66,18,7
100,141,118,74,28,7
99,140,150,100,43,13
134,155,176,106,40,19
77,70,36,20,0,0
83,143,160,141,99,37
136,73,19,6,0,0
84,56,40,12,5,2
97,123,103,56,22,3
67,51,22,11,0,0
90,97,83,46,14,5
137,68,24,4,0,0
118,72,32,6,1,0
58,65,59,33,9,3
121,132,100,49,10,1
80,125,159,121,60,18
89,66,34,9,2,0
82,66,43,24,4,0
113,139,100,51,10,4
84,103,78,44,20,5
82,39,12,2,0,0
109,54,20,5,0,0
88,179,249,234,121,57
109,55,23,4,0,0
83,125,111,49,16,7
84,54,13,5,0,0
120,177,213,161,72,32
86,54,17,2,0,0
95,91,47,16,5,1
123,25,5,0,0,0
91,67,27,16,1,0
84,121,120,98,42,12
101,21,7,4,1,0
91,167,211,167,90,32
93,67,20,6,2,0
99,81,44,21,1,0
81,16,1,0,0,0
81,123,123,102,58,23
67,39,9,2,0,0
88,73,34,11,4,1
73,36,7,1,0,0
76,43,19,8,2,0
92,183,194,125,72,32
117,77,32,10,4,1
110,143,140,93,38,10
110,76,35,11,2,2
111,125,97,42,23,10
112,65,26,9,1,0
127,135,94,49,19,7
121,480,1285,2272,2802,2493
98,134,101,41,11,3
101,91,61,32,7,1
102,61,19,5,0,0
97,174,158,108,53,19
99,171,247,195,101,33
90,27,6,3,0,0
75,23,8,0,0,0
93,323,635,895,809,519
74,64,51,22,5,1
139,99,48,17,2,0
115,112,99,62,28,5
91,140,139,87,39,13
109,147,178,97,35,13
116,88,39,10,1,0
79,220,422,513,469,286
86,84,37,19,5,2
78,30,20,3,0,0
82,45,19,3,2,0
125,105,67,28,6,2
120,77,34,12,2,0
77,62,33,20,2,0
48,51,42,24,12,1
100,13,2,0,0,0
101,60,22,6,0,0
81,111,139,103,53,24
71,75,54,30,5,2
109,54,20,1,0,0
78,40,25,4,0,0
135,232,215,170,89,28
104,77,53,20,8,3
89,65,37,2,1,0
130,336,568,681,542,319
169,101,54,17,2,0
106,133,115,53,17,4
87,62,43,7,2,0
118,89,49,12,0,0
101,44,12,0,0,0
120,62,26,11,3,0
132,232,290,226,99,50
84,27,8,1,0,0
133,127,90,48,24,4
98,43,9,3,2,0
101,80,32,11,4,2
89,77,31,12,4,2
120,26,5,0,0,0
151,253,289,204,108,33
123,96,38,13,5,0
60,90,99,82,52,17
84,56,18,7,0,0
95,144,141,98,24,7
144,592,1310,1936,1959,1439
76,61,48,11,1,0
120,52,24,8,3,0
93,113,89,51,8,3
145,116,63,14,10,1
109,105,42,24,4,0
100,80,42,19,8,2
97,54,11,5,2,0
67,80,52,28,4,1
81,65,30,13,0,0
103,49,15,6,0,0
95,113,91,51,21,9
109,93,49,13,1,0
93,376,1001,1770,2237,2116
111,86,33,10,3,0
79,39,10,1,0,0
61,51,13,4,0,0
84,78,44,25,11,3
88,35,14,5,2,0
94,44,14,4,0,0
64,149,245,233,157,92
94,23,7,0,0,0
101,212,308,346,219,94
116,122,69,39,6,3
81,32,8,5,1,0
129,266,412,444,319,128
95,73,41,14,2,0
112,45,8,0,0,0
93,74,42,17,6,1
87,199,250,178,103,39
89,127,101,76,30,12
96,138,119,70,30,7
155,328,541,541,379,228
88,91,48,13,1,0
119,116,79,37,19,3
122,105,35,9,1,0
105,30,9,2,1,0
125,88,64,17,4,1
89,184,254,242,181,89
75,18,4,0,0,0
91,169,195,147,98,32
72,56,35,14,2,0
95,52,11,4,1,1
135,117,73,37,11,6
118,247,390,375,231,117
93,72,43,15,3,0
71,109,96,63,36,12
98,162,152,103,59,24
111,55,15,6,2,0
112,148,104,52,14,8
74,70,61,39,10,1
108,59,19,11,3,0
95,140,92,55,17,5
96,57,24,9,1,0
60,32,18,3,0,0
72,26,3,1,0,0
116,143,102,43,16,0
123,71,32,2,0,0
78,40,19,7,1,0
126,63,22,3,1,0
100,41,2,0,0,0
73,41,14,4,0,0
