2080,2428,1901,1053,299,42
1840,1261,611,152,51,12
1792,6432,14442,22281,24496,18969
1328,890,411,258,45,25
1664,1894,1286,506,103,32
1600,3348,4271,3684,2872,1439
1728,903,279,110,10,0
2032,1268,429,98,26,1
1648,1547,1003,400,69,7
1728,1339,715,309,36,0
2160,850,207,26,5,1
1216,871,501,185,7,0
1664,973,448,112,40,0
2576,2906,2247,1350,641,245
1600,552,66,0,0,0
2112,1153,452,128,31,10
1472,2192,2135,1920,872,443
1376,3772,5630,5785,5113,2534
1616,490,147,37,0,0
1408,1783,1410,757,299,83
1712,779,313,139,27,10
1456,631,250,27,0,0
1808,907,192,25,3,0
1440,988,472,193,60,20
1296,1928,1760,1169,523,150
1488,1781,1171,622,229,47
1776,1686,1005,421,133,34
1520,1100,544,118,31,0
1376,1050,461,170,36,4
1824,1288,767,233,32,0
2576,3662,3098,2029,919,206
1920,1029,614,184,44,5
1488,1318,628,403,93,58
1392,896,472,159,24,0
1536,1357,743,284,90,29
1392,1398,929,439,105,6
1440,1576,826,426,98,57
1520,2521,3270,2221,1128,500
1488,1238,777,212,26,1
1936,3883,5607,4972,3841,1751
1088,609,231,127,14,0
1792,1000,511,138,44,0
1216,994,539,187,68,18
1296,1485,914,406,140,28
992,1079,622,282,88,31
1488,3008,3477,2796,1263,665
1536,2227,2205,1965,1074,364
928,1097,745,338,43,0
1648,1202,601,101,15,0
960,757,445,175,65,19
1536,3055,3328,2827,1668,630
1312,1100,416,93,38,3
1408,469,80,0,0,0
1600,922,280,82,27,0
1600,772,229,5,0,0
976,1276,1380,952,501,199
1520,1107,515,223,30,2
1424,4316,9000,12661,12593,9763
1456,1944,1293,607,142,75
1888,1757,1032,471,123,49
1664,1049,493,144,39,5
1408,2379,2454,1696,640,155
1456,942,530,138,8,0
1440,791,255,103,17,1
1664,2078,1343,779,384,121
1056,805,473,100,38,0
2048,3482,4527,3041,1756,893
2608,2256,1088,368,89,0
2112,281,16,0,0,0
1696,2238,1786,1066,439,180
2224,587,84,10,0,0
1808,4199,5818,5504,3542,1649
1344,3142,5373,6023,5108,2483
1680,971,388,103,41,5
2096,862,192,33,6,0
1568,493,119,46,12,7
2384,3404,3437,2208,827,257
2144,1519,655,276,54,23
1552,839,241,12,0,0
1408,936,571,154,45,2
1200,3521,7028,9060,7819,4915
1424,1579,1165,624,156,48
1760,2087,1596,867,250,76
1712,2497,2198,1215,418,179
1488,2262,2202,1593,1001,400
1584,2660,2450,2281,1261,425
1920,1034,272,69,7,0
720,544,206,99,3,0
1728,885,383,97,16,0
1808,1137,414,105,26,0
1456,2280,2739,2124,1037,377
1296,1006,357,145,28,10
1040,736,370,139,52,4
1792,901,316,67,15,0
1328,551,238,71,4,0
1472,1712,1927,1346,594,173
1952,1140,371,131,49,4
1456,775,352,131,5,14
1760,1841,1210,449,144,8
1840,2117,1734,871,226,65
1648,1911,2060,1176,476,141
1504,1353,973,471,122,8
1424,435,74,13,0,0
1856,2335,2055,1338,585,100
1696,1718,1577,827,317,116
1488,2169,2587,2019,824,335
1424,754,241,27,0,0
2048,7545,19644,32030,36612,32451
1920,727,158,21,13,0
1232,1632,1339,610,187,76
1616,1433,962,302,77,6
2032,1064,516,155,22,0
1200,1645,1268,625,261,101
976,775,437,152,32,12
1296,256,25,0,0,0
1072,461,55,9,0,0
1712,1756,1231,518,156,29
1440,4748,10318,14535,15666,11617
1072,420,145,23,7,0
2096,1764,944,457,133,27
1376,2565,3501,2828,1702,581
1888,1946,1577,858,313,103
1616,1094,543,108,2,0
1680,644,138,10,0,0
1728,510,85,25,1,0
1552,946,312,42,0,0
1648,1066,464,107,17,6
1648,448,78,16,0,0
1472,495,96,2,0,0
1280,1371,861,273,75,51
960,552,178,44,20,6
1760,807,282,48,12,0
1104,624,285,82,0,0
1056,521,132,16,9,12
1232,1505,1720,1230,563,160
1472,3129,4309,4535,3377,1742
1840,5569,10567,13890,12394,8134
1040,1165,880,483,224,126
2240,3041,1943,1090,440,150
2016,4183,5362,4911,2763,1221
1248,3161,5273,6037,4236,2384
1776,3444,4931,4687,2898,1226
1328,1931,2075,1393,489,127
1760,1117,442,154,24,0
2336,777,156,32,8,0
1664,2437,2097,1221,556,184
1328,966,580,251,106,46
1600,1297,645,177,76,0
1360,494,226,25,1,0
1792,560,140,26,0,0
1632,2525,3571,2974,1649,481
1568,1691,936,585,206,49
1280,577,208,56,30,0
1648,1940,1390,742,172,22
2032,2131,1380,691,150,39
1632,1842,1353,839,402,74
1904,4811,10207,14348,14127,9983
1664,1304,588,229,24,7
1904,764,232,50,0,0
1568,1322,631,255,17,0
1280,788,281,51,19,1
1440,1558,1430,934,280,53
1984,1765,1130,513,139,36
1696,1752,1122,530,230,45
1632,1032,301,39,10,0
1872,1776,1191,610,197,39
1856,1106,398,87,36,3
1904,2136,1377,617,144,41
1408,950,376,189,59,9
1696,649,195,48,0,0
1744,1889,1335,560,192,30
1040,465,57,0,0,0
2304,4648,6601,6299,4281,2059
1376,1658,1299,646,288,56
1584,1684,1055,405,153,21
1504,1465,747,302,72,12
1984,1657,955,333,115,7
1696,380,70,5,0,0
1168,2463,3041,3005,1559,719
1648,769,186,32,12,0
1984,2688,2779,1679,742,414
1408,894,325,103,16,5
1856,1298,694,219,55,7
1328,842,567,222,40,1
1584,791,365,71,17,0
2016,1433,591,189,72,3
2016,2336,1819,749,332,117
1792,1220,522,113,27,4
1712,620,114,14,0,0
1376,853,312,118,21,2
2032,1737,1203,438,115,3
1472,2612,3029,2180,1089,384
1488,1944,1830,1406,621,180
1152,1045,768,355,118,64
1040,506,144,14,0,0
1792,2499,2547,1678,856,360
1760,1373,733,257,81,3
1568,1300,589,92,36,0
1632,2194,2464,1751,894,292
1584,1875,1512,893,148,34
1872,2306,1611,939,228,22
1392,591,104,26,2,0
1632,937,454,103,20,3
1472,441,145,12,0,0
1904,1683,1361,520,201,9
1120,1008,438,158,81,19
1792,2329,1992,1448,625,138
1744,1616,952,547,193,21
1248,878,377,80,6,0
1712,5316,10181,13812,12331,8967
1360,486,149,6,3,0
1888,562,89,5,0,0
1856,958,369,132,52,1
1552,1745,1274,738,312,81
1696,1218,605,164,9,0
1536,966,390,76,6,0
1712,766,235,61,10,0
1664,3147,4642,4006,2345,1249
