157,167,104,70,23,3
117,66,48,6,4,1
102,409,824,1387,1547,1202
94,57,33,13,4,7
100,116,91,47,6,5
100,221,275,260,169,85
107,62,10,2,0,0
137,88,27,7,2,0
98,94,45,22,3,0
117,96,63,13,3,0
122,52,9,0,0,1
73,39,34,11,0,0
105,64,32,4,1,0
185,193,132,108,49,17
128,30,4,0,0,0
132,51,22,14,1,0
86,153,132,117,52,30
74,214,368,342,330,155
107,26,4,3,0,0
77,151,95,53,24,5
101,45,25,8,0,0
97,26,19,2,0,0
99,58,11,4,2,0
110,66,35,18,2,1
59,138,115,63,44,10
88,114,72,35,9,2
95,116,60,34,10,0
102,69,34,16,1,0
88,67,43,16,1,0
119,82,47,10,5,0
152,252,197,154,62,17
133,59,42,5,7,0
123,91,44,37,4,4
86,55,24,10,3,0
81,75,52,23,9,1
81,76,62,18,7,0
74,83,40,27,5,7
108,173,198,149,63,35
102,72,50,8,0,0
112,238,371,302,256,127
61,40,19,10,2,0
135,77,37,7,3,0
97,66,40,14,0,4
79,88,47,19,4,3
88,72,37,31,7,4
111,173,247,167,83,36
77,119,136,111,67,33
67,74,51,23,3,0
84,89,32,7,0,0
55,61,24,10,5,2
106,208,201,179,94,46
75,89,21,17,2,0
78,40,4,0,0,0
105,54,17,6,0,0
105,56,15,0,0,0
56,70,99,44,29,11
100,81,44,12,4,0
86,269,546,820,699,631
83,116,85,41,25,5
101,105,61,31,5,4
93,68,36,8,2,0
89,167,183,99,45,13
98,46,30,14,1,0
75,53,12,6,1,0
108,129,77,43,26,13
82,64,21,10,2,0
106,211,281,184,103,74
192,134,75,19,7,0
110,31,1,0,0,0
104,152,113,90,22,15
131,28,4,0,0,0
120,293,385,320,231,100
62,213,314,342,324,136
94,69,32,7,3,1
101,56,18,1,2,0
103,26,6,1,0,0
157,186,196,122,60,11
140,98,38,20,3,2
94,57,11,1,0,0
82,62,34,8,3,0
68,221,462,556,522,295
95,109,61,37,11,8
134,133,98,40,14,4
111,141,143,86,26,17
98,167,164,78,80,25
111,157,171,139,98,39
115,58,14,3,0,0
51,42,16,8,0,0
137,57,24,6,1,0
114,88,19,5,0,0
91,139,159,131,85,16
80,58,23,5,2,0
49,63,24,6,3,0
109,59,25,1,1,0
75,46,23,5,0,0
76,109,137,93,31,7
141,68,20,4,3,0
107,44,17,9,0,0
115,122,89,29,13,0
107,146,110,69,14,4
119,103,153,84,39,21
110,64,67,42,7,0
84,27,7,0,0,0
124,160,135,70,38,9
105,102,87,42,11,9
94,143,154,129,52,25
101,49,16,0,0,0
135,455,1223,1946,2282,2037
110,44,15,0,2,0
74,90,94,47,11,2
100,87,52,23,1,0
145,73,37,8,1,0
89,93,96,35,19,5
71,52,21,11,1,0
88,11,1,0,0,0
59,24,8,0,0,0
102,117,60,33,5,3
83,278,711,941,962,711
73,32,6,1,0,0
113,111,54,27,13,1
85,177,261,184,88,30
111,128,105,64,33,7
91,70,35,11,2,0
100,51,6,0,0,0
79,30,5,1,0,0
115,65,19,2,0,0
93,65,32,4,1,0
109,30,8,1,0,0
102,35,4,0,0,0
88,84,49,16,4,3
56,30,7,2,1,0
107,53,16,1,0,0
64,33,17,8,0,0
62,35,6,0,1,1
70,91,101,101,32,13
105,233,288,260,232,119
138,344,693,857,740,500
59,79,54,34,18,8
157,183,111,69,28,12
137,309,319,315,186,80
77,217,337,420,277,127
101,207,280,287,192,84
98,107,130,72,32,5
111,58,20,3,3,0
158,47,10,4,2,0
127,146,128,54,30,9
83,87,31,17,9,2
119,76,50,6,3,0
99,25,12,0,0,0
123,35,10,2,0,0
106,177,245,201,110,35
107,101,50,38,10,4
92,42,14,6,0,0
87,124,130,54,10,1
122,113,100,53,15,2
86,106,95,57,28,5
137,258,639,880,850,604
103,72,33,14,0,0
119,54,12,2,0,0
90,71,46,13,0,0
65,45,18,2,1,0
90,95,79,68,13,1
138,137,71,35,5,1
108,115,63,35,16,1
108,73,27,7,1,0
109,118,85,40,19,5
95,86,24,7,1,0
132,144,89,46,5,3
79,72,16,4,3,0
114,53,13,2,0,0
95,124,85,32,15,1
87,25,1,0,0,0
146,331,384,386,286,116
78,99,88,38,19,3
85,117,64,18,14,3
87,99,49,18,4,1
125,98,62,9,3,1
114,31,7,1,0,0
79,162,184,163,101,41
